depth,train_accuracy,test_accuracy
1,59.4498,57.8947
2,77.8708,77.9904
3,79.1866,79.9043
4,81.5789,80.3828
5,81.8182,80.3828
6,82.8947,80.8612
7,83.9713,80.3828
8,85.2871,80.8612
9,86.7225,79.9043
10,87.799,80.3828
11,89.1148,79.9043
12,90.0718,79.4258
13,91.2679,78.9474
14,92.3445,77.9904
15,93.0622,77.9904
16,94.378,77.9904
17,95.4545,78.9474
18,95.8134,78.4689
19,96.4115,77.512
20,97.1292,77.9904
21,97.488,78.4689
22,97.488,78.9474
23,97.8469,78.9474
24,97.8469,78.9474
25,97.8469,78.9474
26,97.8469,78.9474
27,97.8469,78.9474
28,97.8469,78.9474
29,97.8469,78.9474
30,97.8469,78.9474
